Item,Section,Description,Location/Status
1,Title and abstract,"Title identifies study as development and/or validation of a prediction model; abstract summarizes study design, data source, outcome, predictors, performance measures, and key results","Title: 'Retrospective Cohort Study from MIMIC-IV'; Abstract: complete with design, data source, N=5728, outcome, predictors, AUC/NRI/IDI, sensitivity analyses"
2,Background and objective,"Explain the medical context and rationale for developing the model; state the research objectives","Section 1 (Introduction): acute abdomen risk stratification gap; 5 stated objectives"
3,Source of data,"Describe the data source, study design, and dates of data collection","Section 2.1: MIMIC-IV v3.1, BIDMC 2008-2022, retrospective cohort"
4,Participants,"Describe eligibility criteria, inclusion/exclusion, and flow of participants","Section 2.2 + Figure 1: 546028→5728 with complete exclusion criteria and flow diagram"
5,Outcome,"Define the outcome, how and when assessed, and by whom","Section 2.5: Primary=in-hospital mortality (hospital_expire_flag); Secondary=strict ICU mortality"
6,Predictors,"Define predictors, how and when measured; address any blinding","Section 2.4: SI/MSI/DSI/Age-SI from 24h vitals; BP priority: arterial>NIBP>manual"
7,Sample size,"Explain how sample size was arrived at; discuss adequacy","N=5728 CC; 1141 events > 100 EPV threshold for 10 predictors"
8,Missing data,"Describe missing data patterns and how handled","Section 2.2: 36% exclusion (primarily lactate 64.6% coverage); MI sensitivity analysis (N=8933, 5 imputations)"
9,Analysis methods,"Describe all statistical methods including model building, validation, performance metrics","Section 2.7: Logistic regression, ROC/AUC, NRI/IDI with bootstrap CIs, DCA, RCS, CIF, calibration, bootstrap validation, MI"
10,Risk groups,"If applicable, describe how risk groups/categories were defined","DSI quartiles: Q1<1.279, Q2 1.279-1.502, Q3 1.502-1.762, Q4>1.762"
11,Development vs validation,"Clarify whether data were used for development, validation, or both","Development and internal validation on same dataset (bootstrap); external validation in eICU-CRD (N=5755, 208 hospitals) reported in Section 3.12"
12,Model development,"Describe model building process including predictor selection and assumptions","Section 2.7: Three-level hierarchical models; SOFA added per reviewer guidance; DSI selected as best performer"
13,Model specification,"Provide full model equation or coefficients to allow prediction","Supplementary Table S6: intercept (-6.2703) and all beta coefficients with SE, OR, 95% CI, P"
14,Model performance,"Report performance measures with CIs: discrimination, calibration","AUC=0.792, optimism-corrected=0.788, NRI with 95% CIs, IDI with 95% CIs, HL test, Brier score"
15,Model evaluation,"Describe any evaluation of clinical usefulness or decision impact","DCA (Section 3.6): net benefit analysis at 5-25% thresholds"
16,Results: participants,"Report flow of participants, characteristics, outcome events","Section 3.1: N=5728, mortality 19.9%, SOFA median 7 [4-11]; complete baseline characteristics"
17,Results: model development,"Report predictor estimates and their confidence intervals","Section 3.10 + Table S6: all ORs with 95% CIs; DSI OR=2.27 (1.86-2.76)"
18,Results: model performance,"Report discrimination, calibration, and reclassification metrics","Section 3.3: AUC=0.792, NRI=0.008(-0.009,0.044), category-free NRI=0.252(0.183,0.331), IDI=0.013(0.007,0.020)"
19,Model usage,"Provide instructions on how to use the model in practice","Section 4.3: DSI=HR/DBP from routine vitals; quartile cutoffs for risk stratification; zero-cost bedside tool"
20,Interpretation,"Interpret results in context of existing evidence and study objectives","Section 4: 7 principal findings; DSI independent predictor after SOFA adjustment; comparison with literature"
21,Limitations,"Discuss limitations including generalizability and potential biases","Section 4.4: 13 limitations including single-center, selection bias (36% exclusion), ΔAUC below clinical threshold, categorical NRI CI crossing zero, surgery survivorship bias (removed from primary model), Other subtype heterogeneity, eICU SOFA heterogeneity, recalibration requirement (intercept shift −3.935), no Fine-Gray model, eICU temporal gap (2014-2015), borderline WBC P, only 2 authors"
22,Implications,"Discuss clinical implications and what future studies should address","Section 4.5: prospective multicenter validation, external validation, trajectory analysis, ML comparison"
23,Funding,"Report funding sources and role of funders","Declarations: 3 grants; funders had no role in study design, analysis, publication, or manuscript preparation"
24,Data availability,"State whether data and code are available","Declarations: MIMIC-IV at PhysioNet; code available from corresponding author on request"
25,Software and code,"Describe software used; provide or reference code","Python 3.13 (pandas, scipy, statsmodels, scikit-learn, matplotlib, DuckDB); code on request"
26,Conflict of interest,"Declare any conflicts of interest","Declarations: authors declare no conflicts of interest"
27,Supplementary information,"Indicate where supplementary materials can be found","Supplementary Materials: Tables S1-S8, Figures S1-S2"
